"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"273532245","2023-08-27T00:00:00.000","17:00:00","BRONX","OUTSIDE","43","0","STREET","(null)","false","18-24","M","BLACK","25-44","M","BLACK","1022816","238673","40.821694","-73.860656","POINT (-73.860656 40.821694)"
"273522775","2023-08-26T00:00:00.000","06:00:00","BRONX","INSIDE","49","2","HOUSING","MULTI DWELL - PUBLIC HOUS","true","45-64","M","BLACK","45-64","F","BLACK","1020546","255511","40.867919","-73.868768","POINT (-73.868768 40.867919)"
"274321346","2023-08-26T00:00:00.000","21:30:00","BROOKLYN","OUTSIDE","90","0","STREET","(null)","false","25-44","M","BLACK HISPANIC","45-64","M","BLACK HISPANIC","995957","198402","40.711237","-73.957769","POINT (-73.957769 40.711237)"
"273520490","2023-08-26T00:00:00.000","04:39:00","BROOKLYN","OUTSIDE","83","0","STREET","(null)","false","18-24","M","BLACK HISPANIC","18-24","M","BLACK","1008744","194130","40.699486","-73.911662","POINT (-73.911662 40.699486)"
"273520491","2023-08-26T00:00:00.000","23:07:00","BROOKLYN","OUTSIDE","83","0","STREET","(null)","false","18-24","M","BLACK HISPANIC","25-44","M","BLACK","1005882","191817","40.69314365095801","-73.92199324222423","POINT (-73.92199324222423 40.69314365095801)"
"273520492","2023-08-26T00:00:00.000","22:43:00","BRONX","OUTSIDE","43","2","HOUSING","MULTI DWELL - PUBLIC HOUS","false","(null)","(null)","(null)","18-24","M","BLACK HISPANIC","1021490","236441","40.815576","-73.865461","POINT (-73.865461 40.815576)"
"273473533","2023-08-26T00:00:00.000","00:18:00","BROOKLYN","OUTSIDE","67","0","STREET","(null)","false","(null)","(null)","(null)","45-64","M","BLACK","1000244","176509","40.65114","-73.942359","POINT (-73.942359 40.65114)"
"273520491","2023-08-26T00:00:00.000","23:07:00","BROOKLYN","OUTSIDE","83","0","STREET","(null)","false","18-24","M","BLACK","25-44","M","BLACK","1005882","191817","40.69314365095801","-73.92199324222423","POINT (-73.92199324222423 40.69314365095801)"
"273520490","2023-08-26T00:00:00.000","04:39:00","BROOKLYN","OUTSIDE","83","0","STREET","(null)","false","25-44","M","BLACK HISPANIC","18-24","M","BLACK","1008744","194130","40.699486","-73.911662","POINT (-73.911662 40.699486)"
"273470855","2023-08-25T00:00:00.000","18:59:00","BRONX","OUTSIDE","40","0","STREET","(null)","false","18-24","M","BLACK","25-44","M","BLACK","1009419","235573","40.81323333664803","-73.9090747576563","POINT (-73.9090747576563 40.81323333664803)"
"273520496","2023-08-25T00:00:00.000","22:45:00","BRONX","OUTSIDE","46","0","STREET","(null)","true","25-44","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC","1009333","247239","40.84525339546618","-73.90934182293881","POINT (-73.90934182293881 40.84525339546618)"
